,,,,,,,,,,
From,To,,,,,,,,,
9/12/2021 15:19,3/11/2022 14:19,,,,,,,,,
Material, Order, QSV, Lanes, No Of Rolls, Length, No Of Packs, No Of Rewinding Rolls , Potential Waste Length, POrder Due Date, Operation Due Date/Time
WIP Printing-Lamina,0697272-C,B090-813-61,5,1,4098,75889,0,129,3/11/2022,3/11/2022
WIP Printing-Lamina,0697274-C,B090-813-61,5,2,8757,162167,0,896,3/11/2022,3/11/2022
WIP Printing-Lamina,0697276-C,B090-813-61,5,1,4041,74833,0,462,3/11/2022,3/11/2022
WIP Printing-Lamina,0697284-C,B590-602-70,7,19,95376,3513853,0,259,3/11/2022,3/11/2022
WIP Printing-Lamina,697315,B590-602-70,7,10,49874,1837463,0,168,3/11/2022,3/11/2022
WIP Printing-Lamina,0697316-C,B590-602-70,7,19,94112,3467284,0,722,3/11/2022,3/11/2022
WIP Printing-Lamina,697332,B090-465-09,9,1,6121,317882,0,1,3/11/2022,3/11/2022
WIP Printing-Lamina,697333,B090-465-09,9,1,6170,320427,0,1,3/11/2022,3/11/2022
WIP Printing-Lamina,0697337-C,B672-813-49,5,5,21603,400056,0,3,3/14/2022,3/14/2022
WIP Printing-Lamina,0697345-C,B672-813-49,5,1,4428,82000,0,1488,3/14/2022,3/14/2022
WIP Printing-Lamina,697626,B090-350-09,9,1,6123,423900,0,172,3/15/2022,3/15/2022
WIP Printing-Lamina,697703,B672-813-49,5,1,4445,82315,0,0,3/11/2022,3/11/2022
WIP Printing,0695128-C,B090-465-09,9,1,2626,136376,0,466,3/11/2022,3/11/2022
WIP Printing,0695404-C,B590-602-70,7,1,4974,183253,0,1272,2/2/2022,2/2/2022
WIP Printing,0695516-C,B090-465-09,9,1,5085,264080,0,152,3/3/2022,3/3/2022
WIP Printing,695587,B090-B01-09,9,1,6150,351429,0,0,2/11/2022,2/11/2022
WIP Printing,695803,9921-602-99,7,2,1052,38757,0,0,2/14/2022,2/14/2022
WIP Printing,0695903-C,B090-465-09,9,5,30868,1603070,0,81,3/22/2022,3/22/2022
WIP Printing,696216,B590-602-70,7,1,5159,190068,0,187,2/23/2022,2/23/2022
WIP Printing,696416,B590-602-70,7,1,4890,180158,0,279,3/4/2022,3/4/2022
WIP Printing,0697285-C,B672-813-49,5,3,13431,248722,0,27,3/14/2022,3/14/2022
WIP Printing,697322,C363-350-09,9,1,3774,261277,0,0,3/11/2022,3/11/2022
WIP Printing,697627,C363-350-09,9,1,2163,149746,0,0,3/18/2022,3/18/2022
WIP Printing,697705,C363-350-09,9,2,12483,864208,0,1470,3/18/2022,3/18/2022
,,,,,,,,,,
